,board,first_player,move_history,winner,1,2,3,4,5,6,7,8,9
0,"[[1, 0, 1], [0, 1, 0], [0, 1, 0]]",0,"[-7, 6, -9, 8, -5, 5, -7, 3, -4]",-1,-7,6,-9,8,-5,5,-7,3,-4
1,"[[1, -1, 0], [1, 1, 0], [-1, 0, 1]]",1,"[3, -8, 5, -5, 9, -7, 6, 0, 0]",1,3,-8,5,-5,9,-7,6,0,0
2,"[[1, 1, 1], [0, -1, 1], [-1, 0, 0]]",1,"[7, -5, 3, -9, 4, -8, 5, 0, 0]",1,7,-5,3,-9,4,-8,5,0,0
3,"[[1, 1, 0], [0, 1, 0], [-1, 0, 1]]",0,"[-7, 6, -5, 3, -5, 4, -8, 9, 0]",1,-7,6,-5,3,-5,4,-8,9,0
4,"[[0, 0, -1], [0, 1, 1], [0, -1, 1]]",0,"[-4, 6, -7, 7, -3, 9, -5, 0, 0]",0,-4,6,-7,7,-3,9,-5,0,0
5,"[[0, 1, 1], [-1, 0, 1], [0, 0, 1]]",0,"[-6, 4, -8, 7, -3, 9, -7, 5, 0]",1,-6,4,-8,7,-3,9,-7,5,0
6,"[[1, 0, 1], [1, 1, 0], [0, 0, 1]]",1,"[5, -4, 6, -8, 9, -7, 5, -7, 3]",1,5,-4,6,-8,9,-7,5,-7,3
7,"[[0, 1, 1], [-1, 0, 1], [0, 1, 0]]",1,"[4, -7, 7, -6, 5, -3, 8, -9, 0]",0,4,-7,7,-6,5,-3,8,-9,0
8,"[[1, 0, 0], [-1, 1, 0], [1, -1, 0]]",0,"[-9, 6, -4, 3, -7, 7, -5, 0, 0]",0,-9,6,-4,3,-7,7,-5,0,0
9,"[[0, 0, 1], [0, 1, 1], [1, 1, 0]]",1,"[5, -9, 8, -4, 7, -3, 6, -5, 7]",1,5,-9,8,-4,7,-3,6,-5,7
10,"[[-1, 1, 0], [-1, -1, 0], [-1, 1, 0]]",0,"[-9, 4, -7, 8, -5, 0, 0, 0, 0]",0,-9,4,-7,8,-5,0,0,0,0
11,"[[1, 1, 0], [1, 0, 0], [0, 1, -1]]",1,"[3, -7, 8, -6, 4, -7, 5, -5, 0]",0,3,-7,8,-6,4,-7,5,-5,0
12,"[[1, 0, 0], [0, 1, 0], [1, 1, 1]]",1,"[7, -5, 6, -5, 8, -4, 3, -7, 9]",1,7,-5,6,-5,8,-4,3,-7,9
13,"[[0, -1, 1], [0, 1, -1], [1, -1, 0]]",0,"[-9, 5, -5, 7, -3, 6, 0, 0, 0]",1,-9,5,-5,7,-3,6,0,0,0
14,"[[0, 1, 1], [0, 1, 0], [0, 0, 1]]",0,"[-3, 6, -7, 4, -7, 9, -8, 5, -5]",0,-3,6,-7,4,-7,9,-8,5,-5
15,"[[0, 1, 1], [1, 0, 0], [0, 1, 1]]",1,"[5, -7, 8, -6, 4, -3, 5, -7, 9]",-1,5,-7,8,-6,4,-3,5,-7,9
16,"[[1, -1, 1], [0, 0, 0], [-1, 0, 1]]",0,"[-8, 3, -7, 9, -5, 5, -6, 0, 0]",0,-8,3,-7,9,-5,5,-6,0,0
17,"[[0, 1, 0], [1, 0, 1], [0, 0, 1]]",0,"[-3, 7, -8, 4, -7, 5, -5, 9, -6]",0,-3,7,-8,4,-7,5,-5,9,-6
18,"[[1, 0, 1], [1, 1, 0], [0, 1, 0]]",1,"[6, -7, 5, -9, 8, -4, 5, -7, 3]",-1,6,-7,5,-9,8,-4,5,-7,3
19,"[[1, -1, 1], [0, 0, 0], [-1, 0, 1]]",0,"[-6, 5, -7, 9, -8, 3, -5, 0, 0]",0,-6,5,-7,9,-8,3,-5,0,0
20,"[[0, 1, 0], [1, 0, 1], [1, 0, 1]]",1,"[5, -6, 9, -3, 4, -8, 7, -5, 7]",-1,5,-6,9,-3,4,-8,7,-5,7
21,"[[0, 1, 0], [1, 0, 0], [1, 0, 1]]",0,"[-8, 7, -3, 4, -7, 5, -5, 9, -6]",-1,-8,7,-3,4,-7,5,-5,9,-6
22,"[[1, 0, -1], [-1, 1, 1], [0, 0, 0]]",0,"[-8, 7, -4, 6, -7, 3, -9, 0, 0]",0,-8,7,-4,6,-7,3,-9,0,0
23,"[[-1, 0, 0], [1, 1, 1], [-1, 0, 1]]",1,"[5, -8, 9, -5, 7, -4, 6, 0, 0]",1,5,-8,9,-5,7,-4,6,0,0
24,"[[-1, 1, -1], [-1, 1, -1], [0, 1, 0]]",1,"[4, -9, 8, -7, 6, 0, 0, 0, 0]",1,4,-9,8,-7,6,0,0,0,0
25,"[[0, -1, 0], [-1, -1, -1], [1, 1, 1]]",1,"[8, -5, 9, -3, 7, 0, 0, 0, 0]",1,8,-5,9,-3,7,0,0,0,0
26,"[[1, 1, -1], [0, 1, 0], [0, 1, 0]]",0,"[-7, 3, -5, 4, -9, 6, -7, 8, 0]",1,-7,3,-5,4,-9,6,-7,8,0
27,"[[0, 1, -1], [0, 0, -1], [0, 1, 1]]",0,"[-5, 8, -3, 4, -6, 9, -7, 0, 0]",0,-5,8,-3,4,-6,9,-7,0,0
28,"[[1, 0, 0], [1, 1, 0], [-1, 0, 1]]",0,"[-5, 6, -8, 3, -4, 5, -7, 9, 0]",1,-5,6,-8,3,-4,5,-7,9,0
29,"[[-1, -1, 1], [0, -1, 1], [-1, 0, 1]]",1,"[9, -5, 7, -8, 5, 0, 0, 0, 0]",1,9,-5,7,-8,5,0,0,0,0
30,"[[1, 1, 1], [1, -1, 0], [0, -1, 0]]",1,"[5, -9, 3, -7, 5, -7, 4, 0, 0]",1,5,-9,3,-7,5,-7,4,0,0
31,"[[-1, 1, 0], [1, -1, 0], [-1, -1, 0]]",0,"[-5, 5, -9, 4, -7, 0, 0, 0, 0]",0,-5,5,-9,4,-7,0,0,0,0
32,"[[1, 1, 0], [1, -1, 0], [-1, 0, 0]]",0,"[-9, 4, -8, 3, -5, 5, -7, 0, 0]",0,-9,4,-8,3,-5,5,-7,0,0
33,"[[1, 0, 0], [1, 0, -1], [1, -1, 1]]",1,"[5, -6, 9, -5, 7, -4, 3, 0, 0]",1,5,-6,9,-5,7,-4,3,0,0
34,"[[0, 0, 1], [0, 1, 1], [1, 1, 0]]",1,"[7, -9, 8, -5, 6, -4, 7, -3, 5]",1,7,-9,8,-5,6,-4,7,-3,5
35,"[[0, -1, 1], [0, 0, 1], [1, -1, 0]]",0,"[-3, 5, -9, 7, -5, 7, -6, 0, 0]",0,-3,5,-9,7,-5,7,-6,0,0
36,"[[0, 0, 1], [1, 1, 1], [0, 1, 0]]",1,"[5, -7, 8, -3, 5, -4, 7, -9, 6]",1,5,-7,8,-3,5,-4,7,-9,6
37,"[[0, 1, 0], [0, -1, 1], [0, 1, -1]]",0,"[-7, 8, -5, 7, -3, 4, -5, 0, 0]",0,-7,8,-5,7,-3,4,-5,0,0
38,"[[0, 1, -1], [0, -1, -1], [0, 1, 1]]",1,"[8, -5, 4, -7, 9, -3, 0, 0, 0]",0,8,-5,4,-7,9,-3,0,0,0
39,"[[-1, 1, 0], [0, 1, 1], [0, 1, -1]]",1,"[8, -5, 7, -5, 6, -7, 4, 0, 0]",1,8,-5,7,-5,6,-7,4,0,0
40,"[[1, 1, 1], [1, 0, 0], [-1, 0, -1]]",1,"[5, -8, 5, -6, 4, -7, 3, 0, 0]",1,5,-8,5,-6,4,-7,3,0,0
41,"[[1, 1, 1], [-1, -1, 0], [-1, 0, 0]]",0,"[-8, 3, -7, 4, -9, 5, 0, 0, 0]",1,-8,3,-7,4,-9,5,0,0,0
42,"[[1, 1, 0], [1, 0, 0], [1, 0, 1]]",1,"[4, -8, 5, -7, 9, -5, 7, -6, 3]",1,4,-8,5,-7,9,-5,7,-6,3
43,"[[1, 0, 1], [1, 0, 0], [0, 0, 1]]",0,"[-7, 3, -7, 9, -6, 5, -4, 5, -8]",0,-7,3,-7,9,-6,5,-4,5,-8
44,"[[-1, 0, -1], [0, -1, -1], [1, 1, 1]]",1,"[7, -5, 8, -4, 9, 0, 0, 0, 0]",1,7,-5,8,-4,9,0,0,0,0
45,"[[1, -1, 0], [0, 0, 1], [0, -1, 1]]",0,"[-5, 7, -5, 9, -7, 3, -6, 0, 0]",0,-5,7,-5,9,-7,3,-6,0,0
46,"[[1, 0, 1], [0, 0, 0], [-1, 1, 1]]",1,"[5, -4, 3, -5, 8, -7, 9, -6, 0]",0,5,-4,3,-5,8,-7,9,-6,0
47,"[[1, 1, 0], [0, 1, 1], [0, 1, 0]]",1,"[7, -5, 4, -9, 3, -5, 6, -7, 8]",1,7,-5,4,-9,3,-5,6,-7,8
48,"[[1, 0, 0], [1, 1, 1], [1, 0, 0]]",1,"[7, -4, 3, -9, 6, -8, 7, -5, 5]",1,7,-4,3,-9,6,-8,7,-5,5
49,"[[0, -1, 0], [0, 1, 1], [0, 1, -1]]",0,"[-7, 8, -3, 7, -5, 6, -5, 0, 0]",0,-7,8,-3,7,-5,6,-5,0,0
50,"[[0, 0, 0], [-1, 1, -1], [1, 1, 0]]",0,"[-4, 8, -9, 7, -5, 6, -3, 0, 0]",0,-4,8,-9,7,-5,6,-3,0,0
51,"[[1, 0, 1], [1, -1, -1], [0, 0, 0]]",0,"[-4, 5, -7, 3, -8, 5, -9, 0, 0]",0,-4,5,-7,3,-8,5,-9,0,0
52,"[[-1, 0, 1], [0, 1, -1], [1, 0, -1]]",0,"[-8, 7, -4, 5, -5, 6, 0, 0, 0]",1,-8,7,-4,5,-5,6,0,0,0
